ref_compo,categorie,aero,desc,lifespan,taux_usure_actuel,cout
REAE175-E175_4124-0,Composants Critiques,E175_4124,Réacteur gauche,11950,69.23414999999999,19845
REAE175-E175_4124-1,Composants Critiques,E175_4124,Réacteur droit,14014,65.18195799999998,17416
SYSE175-E175_4124-2,Composants Critiques,E175_4124,Système de navigation,12519,17.981443,16184
ORDE175-E175_4124-3,Composants Critiques,E175_4124,Ordinateur de vol,11612,26.147164000000007,18574
AUTE175-E175_4124-4,Composants Critiques,E175_4124,Autopilote,10655,11.473035000000001,18769
SYSE175-E175_4124-5,Composants Critiques,E175_4124,Système de contrôle de vol,14817,15.122549,19328
RADE175-E175_4124-6,Composants Critiques,E175_4124,Radar météorologique,11392,51.557824000000004,18424
SYSE175-E175_4124-7,Composants Critiques,E175_4124,Système de communication radio,13735,65.69379500000002,16827
SYSE175-E175_4124-8,Composants Critiques,E175_4124,Système de gestion de carburant,10158,11.397526000000001,19628
SYSE175-E175_4124-9,Composants Critiques,E175_4124,Système d'alerte de proximité au sol (GPWS),10474,59.022577999999996,17009
SYSE175-E175_4124-10,Composants Critiques,E175_4124,Système de commande des gaz,10195,38.194415,17283
UNIE175-E175_4124-11,Composants Critiques,E175_4124,Unité de gestion de l'air,10141,43.84057699999999,18452
SYSE175-E175_4124-12,Composants Critiques,E175_4124,Système de gestion électrique,10219,38.208343,19476
SYSE175-E175_4124-13,Composants Critiques,E175_4124,Système d'atterrissage automatique,13906,71.14428200000002,16052
SYSE175-E175_4124-14,Composants Critiques,E175_4124,Système de surveillance du trafic aérien,10602,28.040194000000003,19732
SYSE175-E175_4124-15,Composants Majeurs,E175_4124,Système hydraulique principal,13527,17.076419000000005,11311
GENE175-E175_4124-16,Composants Majeurs,E175_4124,Générateur électrique,12651,24.173047,12119
TRAE175-E175_4124-17,Composants Majeurs,E175_4124,Train d'atterrissage principal,12237,29.590288999999995,12977
TRAE175-E175_4124-18,Composants Majeurs,E175_4124,Train d'atterrissage avant,12260,23.093220000000006,10146
SYSE175-E175_4124-19,Composants Majeurs,E175_4124,Système anti-givre,13273,16.423181000000003,10559
AILE175-E175_4124-20,Composants Majeurs,E175_4124,Ailerons,10026,11.305922000000002,10133
EMPE175-E175_4124-21,Composants Majeurs,E175_4124,Empennage,11349,40.16495300000002,12118
FLAE175-E175_4124-22,Composants Majeurs,E175_4124,Flaps,14015,33.032955,12551
SPOE175-E175_4124-23,Composants Majeurs,E175_4124,Spoilers,10451,63.429646999999996,14457
FREE175-E175_4124-24,Composants Majeurs,E175_4124,Freins,14314,33.821058,13805
SYSE175-E175_4124-25,Composants Majeurs,E175_4124,Système de contrôle des surfaces de vol,12676,66.35797200000002,13869
GOUE175-E175_4124-26,Composants Majeurs,E175_4124,Gouvernail de direction,10109,38.278673,11480
SYSE175-E175_4124-27,Composants Majeurs,E175_4124,Système de pressurisation,72395,18.460725000000004,14625
SYSE175-E175_4124-28,Composants Majeurs,E175_4124,Système de conditionnement d'air,11250,14.606250000000001,14422
SYSE175-E175_4124-29,Composants Majeurs,E175_4124,Système d'extinction d'incendie,13444,33.933668000000004,13295
ECLE175-E175_4124-30,Composants Secondaires,E175_4124,Éclairage de cabine,10139,59.49858300000002,3821
SIEE175-E175_4124-31,Composants Secondaires,E175_4124,Siège pilote,13077,51.10776899999998,3472
SIEE175-E175_4124-32,Composants Secondaires,E175_4124,Siège copilote,14412,41.018764,3904
SYSE175-E175_4124-33,Composants Secondaires,E175_4124,Système de divertissement en vol,13112,29.642664,3507
SYSE175-E175_4124-34,Composants Secondaires,E175_4124,Système d'annonce publique,14990,43.21503,2256
TOIE175-E175_4124-35,Composants Secondaires,E175_4124,Toilettes,13151,57.271547000000005,3605
SYSE175-E175_4124-36,Composants Majeurs,E175_4124,Système de conditionnement d'air,11250,46.38624999999999,14422
DETE175-E175_4124-37,Composants Secondaires,E175_4124,Détecteurs de fumée,12928,59.839216,4640
ECLE175-E175_4124-38,Composants Secondaires,E175_4124,Éclairage d'urgence,10969,42.756093000000014,3701
PORE175-E175_4124-39,Composants Secondaires,E175_4124,Porte cargo,11188,28.184436000000005,2227
SYSE175-E175_4124-40,Composants Secondaires,E175_4124,Systèmes d'oxygène d'urgence,12602,54.52419400000001,4344
PORE175-E175_4124-41,Composants Secondaires,E175_4124,Portes passagers,11227,62.85331899999999,2970
HUBE175-E175_4124-42,Composants Secondaires,E175_4124,Hublots,14930,25.695210000000003,2567
ECLE175-E175_4124-43,Composants Secondaires,E175_4124,Éclairage de la cabine,11837,43.86148899999999,4034
SYSE175-E175_4124-44,Composants Secondaires,E175_4124,Système d'approvisionnement en eau,13487,67.57653899999998,2226
