ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D002927,E175_4124,REAE175-E175_4124-0,69.23414999999999,2023-11-06,False
D000558,E175_4124,REAE175-E175_4124-1,65.18195799999998,2023-11-06,False
D001050,E175_4124,SYSE175-E175_4124-2,17.981443,2023-11-06,False
D007646,E175_4124,ORDE175-E175_4124-3,26.147164000000007,2023-11-06,False
D006744,E175_4124,AUTE175-E175_4124-4,11.473035000000001,2023-11-06,False
D006048,E175_4124,SYSE175-E175_4124-5,15.122549,2023-11-06,False
D001406,E175_4124,RADE175-E175_4124-6,51.557824000000004,2023-11-06,False
D008646,E175_4124,SYSE175-E175_4124-7,65.69379500000002,2023-11-06,False
D000324,E175_4124,SYSE175-E175_4124-8,11.397526000000001,2023-11-06,False
D007357,E175_4124,SYSE175-E175_4124-9,59.022577999999996,2023-11-06,False
D001570,E175_4124,SYSE175-E175_4124-10,38.194415,2023-11-06,False
D009832,E175_4124,UNIE175-E175_4124-11,43.84057699999999,2023-11-06,False
D004404,E175_4124,SYSE175-E175_4124-12,38.208343,2023-11-06,False
D001891,E175_4124,SYSE175-E175_4124-13,71.14428200000002,2023-11-06,False
D003766,E175_4124,SYSE175-E175_4124-14,28.040194000000003,2023-11-06,False
D000140,E175_4124,SYSE175-E175_4124-15,17.076419000000005,2023-11-06,False
D007321,E175_4124,GENE175-E175_4124-16,24.173047,2023-11-06,False
D009811,E175_4124,TRAE175-E175_4124-17,29.590288999999995,2023-11-06,False
D002810,E175_4124,TRAE175-E175_4124-18,23.093220000000006,2023-11-06,False
D009271,E175_4124,SYSE175-E175_4124-19,16.423181000000003,2023-11-06,False
D000318,E175_4124,AILE175-E175_4124-20,11.305922000000002,2023-11-06,False
D008499,E175_4124,EMPE175-E175_4124-21,40.16495300000002,2023-11-06,False
D009759,E175_4124,FLAE175-E175_4124-22,33.032955,2023-11-06,False
D002956,E175_4124,SPOE175-E175_4124-23,63.429646999999996,2023-11-06,False
D004597,E175_4124,FREE175-E175_4124-24,33.821058,2023-11-06,False
D002759,E175_4124,SYSE175-E175_4124-25,66.35797200000002,2023-11-06,False
D000916,E175_4124,GOUE175-E175_4124-26,38.278673,2023-11-06,False
D000361,E175_4124,SYSE175-E175_4124-27,18.460725000000004,2023-11-06,False
D005740,E175_4124,SYSE175-E175_4124-28,14.606250000000001,2023-11-06,False
D006118,E175_4124,SYSE175-E175_4124-29,33.933668000000004,2023-11-06,False
D009630,E175_4124,ECLE175-E175_4124-30,59.49858300000002,2023-11-06,False
D002205,E175_4124,SIEE175-E175_4124-31,51.10776899999998,2023-11-06,False
D003980,E175_4124,SIEE175-E175_4124-32,41.018764,2023-11-06,False
D009565,E175_4124,SYSE175-E175_4124-33,29.642664,2023-11-06,False
D008065,E175_4124,SYSE175-E175_4124-34,43.21503,2023-11-06,False
D000087,E175_4124,TOIE175-E175_4124-35,57.271547000000005,2023-11-06,False
D004861,E175_4124,SYSE175-E175_4124-36,46.38624999999999,2023-11-06,False
D008981,E175_4124,DETE175-E175_4124-37,59.839216,2023-11-06,False
D009036,E175_4124,ECLE175-E175_4124-38,42.756093000000014,2023-11-06,False
D003221,E175_4124,PORE175-E175_4124-39,28.184436000000005,2023-11-06,False
