ref_vol,aero_linked,jour_vol,time_en_air,etat_voyant,temp en °C,pressure en hPa,vibrations en m/s²
V07679725,B767_4924,2024-06-02,7.0,0,-5.7,930.6,3.116
V02564879,B747_3165,2024-06-02,5.1,0,0.9,950.6,4.558
V07933973,B757_2518,2024-06-02,7.7,3,-6.2,975.5,4.587
V02230187,A340_1047,2024-06-02,6.1,1,-25.3,945.1,3.288
V09071213,B757_6806,2024-06-02,4.5,0,11.1,931.3,2.817
V05268617,B747_1460,2024-06-02,4.2,0,6.7,929.1,4.395
V06337912,E170_4215,2024-06-02,2.2,0,-3.3,901.4,0.112
V05407340,A330_6708,2024-06-02,6.0,0,9.7,861.6,4.045
V05601943,A350_6031,2024-06-02,6.7,0,-1.8,938.3,3.246
V04748755,A380_2079,2024-06-02,3.1,0,1.3,987.4,0.073
V04292956,A350_3122,2024-06-02,6.2,0,-9.4,839.2,0.227
V08385842,CRJ700_0545,2024-06-02,0.6,0,5.2,888.8,4.236
V02261708,A330_0921,2024-06-02,3.3,0,-0.9,968.4,3.249
V09916246,A330_6979,2024-06-02,7.0,1,-11.8,899.0,1.582
V03409822,A340_3887,2024-06-02,9.8,1,-16.8,943.6,3.808
V07895636,A340_6668,2024-06-02,6.9,0,17.3,919.1,1.77
V01008450,CRJ700_3181,2024-06-02,3.1,0,2.7,888.3,4.446
V06922028,E170_4783,2024-06-02,5.8,0,-7.4,1017.2,4.632
V03135387,E175_5414,2024-06-02,2.8,0,3.7,931.4,3.394
V04940000,A350_1889,2024-06-02,3.8,0,14.9,983.3,3.507
V09903475,CRJ900_5426,2024-06-02,2.3,0,1.2,985.1,0.645
V00549554,CRJ900_2577,2024-06-02,2.5,0,4.5,916.2,4.315
V08958846,A321_3033,2024-06-02,9.2,0,7.8,942.8,3.218
V08572799,E170_2583,2024-06-02,4.9,0,7.6,946.9,1.137
V09908093,A320_6924,2024-06-02,4.6,0,-11.3,955.0,4.335
V00742572,A330_2602,2024-06-02,11.8,1,12.2,931.8,0.771
V03068133,CRJ900_1993,2024-06-02,4.3,0,-0.8,889.4,0.627
