ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D003661,E170_6353,REAE170-E170_6353-0,54.0,2024-06-06,0
D009402,E170_6353,REAE170-E170_6353-1,51.0,2024-06-06,0
D000812,E170_6353,SYSE170-E170_6353-2,18.0,2024-06-06,0
D006665,E170_6353,ORDE170-E170_6353-3,8.0,2024-06-06,0
D001163,E170_6353,AUTE170-E170_6353-4,43.0,2024-06-06,0
D004039,E170_6353,SYSE170-E170_6353-5,7.0,2024-06-06,0
D003609,E170_6353,RADE170-E170_6353-6,23.0,2024-06-06,0
D000662,E170_6353,SYSE170-E170_6353-7,27.0,2024-06-06,0
D005726,E170_6353,SYSE170-E170_6353-8,4.0,2024-06-06,0
D001649,E170_6353,SYSE170-E170_6353-9,32.0,2024-06-06,0
D000484,E170_6353,SYSE170-E170_6353-10,28.0,2024-06-06,0
D000695,E170_6353,UNIE170-E170_6353-11,30.0,2024-06-06,0
D008324,E170_6353,SYSE170-E170_6353-12,41.0,2024-06-06,0
D004856,E170_6353,SYSE170-E170_6353-13,50.0,2024-06-06,0
D003519,E170_6353,SYSE170-E170_6353-14,50.0,2024-06-06,0
D001256,E170_6353,SYSE170-E170_6353-15,10.0,2024-06-06,0
D000407,E170_6353,GENE170-E170_6353-16,38.0,2024-06-06,0
D003436,E170_6353,TRAE170-E170_6353-17,37.0,2024-06-06,0
D002068,E170_6353,TRAE170-E170_6353-18,30.0,2024-06-06,0
D006601,E170_6353,SYSE170-E170_6353-19,33.0,2024-06-06,0
D003686,E170_6353,AILE170-E170_6353-20,52.0,2024-06-06,0
D006044,E170_6353,EMPE170-E170_6353-21,51.0,2024-06-06,0
D007987,E170_6353,FLAE170-E170_6353-22,7.0,2024-06-06,0
D002475,E170_6353,SPOE170-E170_6353-23,6.0,2024-06-06,0
D000322,E170_6353,FREE170-E170_6353-24,31.0,2024-06-06,0
D008648,E170_6353,SYSE170-E170_6353-25,11.0,2024-06-06,0
D003139,E170_6353,GOUE170-E170_6353-26,32.0,2024-06-06,0
D005176,E170_6353,SYSE170-E170_6353-27,7.0,2024-06-06,0
D001487,E170_6353,SYSE170-E170_6353-28,3.0,2024-06-06,0
D008388,E170_6353,SYSE170-E170_6353-29,50.0,2024-06-06,0
D004133,E170_6353,ECLE170-E170_6353-30,49.0,2024-06-06,0
D009554,E170_6353,SIEE170-E170_6353-31,21.0,2024-06-06,0
D001637,E170_6353,SIEE170-E170_6353-32,42.0,2024-06-06,0
D006334,E170_6353,SYSE170-E170_6353-33,35.0,2024-06-06,0
D001943,E170_6353,SYSE170-E170_6353-34,7.0,2024-06-06,0
D001901,E170_6353,TOIE170-E170_6353-35,10.0,2024-06-06,0
D009948,E170_6353,SYSE170-E170_6353-36,49.0,2024-06-06,0
D009118,E170_6353,DETE170-E170_6353-37,13.0,2024-06-06,0
D008557,E170_6353,ECLE170-E170_6353-38,6.0,2024-06-06,0
D003359,E170_6353,PORE170-E170_6353-39,10.0,2024-06-06,0
D007229,E170_6353,SYSE170-E170_6353-40,25.0,2024-06-06,0
D004016,E170_6353,PORE170-E170_6353-41,18.0,2024-06-06,0
D000955,E170_6353,HUBE170-E170_6353-42,17.0,2024-06-06,0
D007247,E170_6353,ECLE170-E170_6353-43,52.0,2024-06-06,0
D000514,E170_6353,SYSE170-E170_6353-44,23.0,2024-06-06,0
D003716,B767_2803,REAB767-B767_2803-0,5.0,2024-06-04,0
D004900,B767_2803,REAB767-B767_2803-1,20.0,2024-06-04,0
D009419,B767_2803,SYSB767-B767_2803-2,47.0,2024-06-04,0
D000526,B767_2803,ORDB767-B767_2803-3,26.0,2024-06-04,0
D008068,B767_2803,AUTB767-B767_2803-4,5.0,2024-06-04,0
D007621,B767_2803,SYSB767-B767_2803-5,27.0,2024-06-04,0
D005676,B767_2803,RADB767-B767_2803-6,58.0,2024-06-04,0
D008606,B767_2803,SYSB767-B767_2803-7,21.0,2024-06-04,0
D002066,B767_2803,SYSB767-B767_2803-8,11.0,2024-06-04,0
D007166,B767_2803,SYSB767-B767_2803-9,21.0,2024-06-04,0
D001487,B767_2803,SYSB767-B767_2803-10,24.0,2024-06-04,0
D009699,B767_2803,UNIB767-B767_2803-11,44.0,2024-06-04,0
D002688,B767_2803,SYSB767-B767_2803-12,42.0,2024-06-04,0
D007634,B767_2803,SYSB767-B767_2803-13,41.0,2024-06-04,0
D001515,B767_2803,SYSB767-B767_2803-14,53.0,2024-06-04,0
D003070,B767_2803,SYSB767-B767_2803-15,27.0,2024-06-04,0
D004711,B767_2803,GENB767-B767_2803-16,48.0,2024-06-04,0
D003192,B767_2803,TRAB767-B767_2803-17,6.0,2024-06-04,0
D007890,B767_2803,TRAB767-B767_2803-18,27.0,2024-06-04,0
