ref_compo,categorie,aero,desc,lifespan,taux_usure_actuel,cout
REAE170-E170_6353-0,Composants Critiques,E170_6353,Réacteur gauche,13045,53.308375,15552
REAE170-E170_6353-1,Composants Critiques,E170_6353,Réacteur droit,13626,50.11195,17559
SYSE170-E170_6353-2,Composants Critiques,E170_6353,Système de navigation,10541,16.730574999999998,16514
ORDE170-E170_6353-3,Composants Critiques,E170_6353,Ordinateur de vol,10441,6.653075,16047
AUTE170-E170_6353-4,Composants Critiques,E170_6353,Autopilote,14847,42.033525000000004,19362
SYSE170-E170_6353-5,Composants Critiques,E170_6353,Système de contrôle de vol,12580,5.5435,19492
RADE170-E170_6353-6,Composants Critiques,E170_6353,Radar météorologique,11923,22.154225,17567
SYSE170-E170_6353-7,Composants Critiques,E170_6353,Système de communication radio,10370,26.16775,19214
SYSE170-E170_6353-8,Composants Critiques,E170_6353,Système de gestion de carburant,13219,2.441425,18351
SYSE170-E170_6353-9,Composants Critiques,E170_6353,Système d'alerte de proximité au sol (GPWS),10423,31.011725000000002,18680
SYSE170-E170_6353-10,Composants Critiques,E170_6353,Système de commande des gaz,11747,26.801025000000003,18091
UNIE170-E170_6353-11,Composants Critiques,E170_6353,Unité de gestion de l'air,13224,28.361800000000002,17834
SYSE170-E170_6353-12,Composants Critiques,E170_6353,Système de gestion électrique,10409,40.100675,16266
SYSE170-E170_6353-13,Composants Critiques,E170_6353,Système d'atterrissage automatique,13537,48.845275,15045
SYSE170-E170_6353-14,Composants Critiques,E170_6353,Système de surveillance du trafic aérien,10023,48.861725,17135
SYSE170-E170_6353-15,Composants Majeurs,E170_6353,Système hydraulique principal,14811,8.850825,14197
GENE170-E170_6353-16,Composants Majeurs,E170_6353,Générateur électrique,13716,36.4487,10833
TRAE170-E170_6353-17,Composants Majeurs,E170_6353,Train d'atterrissage principal,10389,36.349175,12512
TRAE170-E170_6353-18,Composants Majeurs,E170_6353,Train d'atterrissage avant,13964,28.3073,14173
SYSE170-E170_6353-19,Composants Majeurs,E170_6353,Système anti-givre,14807,31.810525,13366
AILE170-E170_6353-20,Composants Majeurs,E170_6353,Ailerons,10524,50.829299999999996,10290
EMPE170-E170_6353-21,Composants Majeurs,E170_6353,Empennage,13736,50.2402,10528
FLAE170-E170_6353-22,Composants Majeurs,E170_6353,Flaps,11025,5.746875,14480
SPOE170-E170_6353-23,Composants Majeurs,E170_6353,Spoilers,13426,4.49695,12456
FREE170-E170_6353-24,Composants Majeurs,E170_6353,Freins,11015,29.816125,12664
SYSE170-E170_6353-25,Composants Majeurs,E170_6353,Système de contrôle des surfaces de vol,11125,10.334375,12191
GOUE170-E170_6353-26,Composants Majeurs,E170_6353,Gouvernail de direction,12643,31.348225,12059
SYSE170-E170_6353-27,Composants Majeurs,E170_6353,Système de pressurisation,11338,5.75035,13233
SYSE170-E170_6353-28,Composants Majeurs,E170_6353,Système de conditionnement d'air,10343,2.155725,13453
SYSE170-E170_6353-29,Composants Majeurs,E170_6353,Système d'extinction d'incendie,11971,49.257825,10109
ECLE170-E170_6353-30,Composants Secondaires,E170_6353,Éclairage de cabine,12779,48.378425,4788
SIEE170-E170_6353-31,Composants Secondaires,E170_6353,Siège pilote,12106,19.85795,2151
SIEE170-E170_6353-32,Composants Secondaires,E170_6353,Siège copilote,14200,40.625,3722
SYSE170-E170_6353-33,Composants Secondaires,E170_6353,Système de divertissement en vol,13985,33.358875000000005,2723
SYSE170-E170_6353-34,Composants Secondaires,E170_6353,Système d'annonce publique,13876,5.3007,2021
TOIE170-E170_6353-35,Composants Secondaires,E170_6353,Toilettes,13230,9.28225,4801
SYSE170-E170_6353-36,Composants Majeurs,E170_6353,Système de conditionnement d'air,10343,47.925725,13453
DETE170-E170_6353-37,Composants Secondaires,E170_6353,Détecteurs de fumée,11066,11.74995,2147
ECLE170-E170_6353-38,Composants Secondaires,E170_6353,Éclairage d'urgence,14359,4.496925,4936
PORE170-E170_6353-39,Composants Secondaires,E170_6353,Porte cargo,11447,8.938525,2850
SYSE170-E170_6353-40,Composants Secondaires,E170_6353,Systèmes d'oxygène d'urgence,13038,24.00785,4745
PORE170-E170_6353-41,Composants Secondaires,E170_6353,Portes passagers,13107,17.253025,3053
HUBE170-E170_6353-42,Composants Secondaires,E170_6353,Hublots,68978,10.53335,3593
ECLE170-E170_6353-43,Composants Secondaires,E170_6353,Éclairage de la cabine,10639,50.677925,4965
SYSE170-E170_6353-44,Composants Secondaires,E170_6353,Système d'approvisionnement en eau,12796,21.509700000000002,4701
REAB767-B767_2803-0,Composants Critiques,B767_2803,Réacteur gauche,13045,4.18443,15552
REAB767-B767_2803-1,Composants Critiques,B767_2803,Réacteur droit,13626,19.225804,17559
SYSB767-B767_2803-2,Composants Critiques,B767_2803,Système de navigation,10541,46.559214000000004,16514
ORDB767-B767_2803-3,Composants Critiques,B767_2803,Ordinateur de vol,10441,25.593814000000002,16047
AUTB767-B767_2803-4,Composants Critiques,B767_2803,Autopilote,14847,4.121738,19362
SYSB767-B767_2803-5,Composants Critiques,B767_2803,Système de contrôle de vol,12580,26.22932,19492
RADB767-B767_2803-6,Composants Critiques,B767_2803,Radar météorologique,11923,57.263842,17567
SYSB767-B767_2803-7,Composants Critiques,B767_2803,Système de communication radio,10370,20.119979999999998,19214
SYSB767-B767_2803-8,Composants Critiques,B767_2803,Système de gestion de carburant,13219,10.413826,18351
SYSB767-B767_2803-9,Composants Critiques,B767_2803,Système d'alerte de proximité au sol (GPWS),10423,20.522842,18680
SYSB767-B767_2803-10,Composants Critiques,B767_2803,Système de commande des gaz,11747,23.134338,18091
UNIB767-B767_2803-11,Composants Critiques,B767_2803,Unité de gestion de l'air,13224,43.234096,17834
SYSB767-B767_2803-12,Composants Critiques,B767_2803,Système de gestion électrique,10409,41.022086,16266
SYSB767-B767_2803-13,Composants Critiques,B767_2803,Système d'atterrissage automatique,13537,39.640997999999996,15045
SYSB767-B767_2803-14,Composants Critiques,B767_2803,Système de surveillance du trafic aérien,10023,52.591241999999994,17135
SYSB767-B767_2803-15,Composants Majeurs,B767_2803,Système hydraulique principal,14811,26.239794,14197
GENB767-B767_2803-16,Composants Majeurs,B767_2803,Générateur électrique,13716,46.500664,10833
TRAB767-B767_2803-17,Composants Majeurs,B767_2803,Train d'atterrissage principal,10389,5.631006,12512
TRAB767-B767_2803-18,Composants Majeurs,B767_2803,Train d'atterrissage avant,13964,25.494055999999997,14173
SYSB767-B767_2803-19,Composants Majeurs,B767_2803,Système anti-givre,14807,4.639578,13366
AILB767-B767_2803-20,Composants Majeurs,B767_2803,Ailerons,10524,59.668296,10290
EMPB767-B767_2803-21,Composants Majeurs,B767_2803,Empennage,13736,45.221743999999994,10528
FLAB767-B767_2803-22,Composants Majeurs,B767_2803,Flaps,11025,1.7153500000000004,14480
SPOB767-B767_2803-23,Composants Majeurs,B767_2803,Spoilers,13426,48.815004,12456
FREB767-B767_2803-24,Composants Majeurs,B767_2803,Freins,11015,3.2148100000000004,12664
SYSB767-B767_2803-25,Composants Majeurs,B767_2803,Système de contrôle des surfaces de vol,11125,37.99075,12191
GOUB767-B767_2803-26,Composants Majeurs,B767_2803,Gouvernail de direction,12643,35.882722,12059
SYSB767-B767_2803-27,Composants Majeurs,B767_2803,Système de pressurisation,11338,1.952252,13233
SYSB767-B767_2803-28,Composants Majeurs,B767_2803,Système de conditionnement d'air,10343,56.768522000000004,13453
SYSB767-B767_2803-29,Composants Majeurs,B767_2803,Système d'extinction d'incendie,11971,20.706433999999998,10109
ECLB767-B767_2803-30,Composants Secondaires,B767_2803,Éclairage de cabine,12779,20.800066,4788
SIEB767-B767_2803-31,Composants Secondaires,B767_2803,Siège pilote,12106,56.463724,2151
SIEB767-B767_2803-32,Composants Secondaires,B767_2803,Siège copilote,14200,41.716800000000006,3722
SYSB767-B767_2803-33,Composants Secondaires,B767_2803,Système de divertissement en vol,13985,34.055189999999996,2723
SYSB767-B767_2803-34,Composants Secondaires,B767_2803,Système d'annonce publique,13876,3.9193040000000003,2021
TOIB767-B767_2803-35,Composants Secondaires,B767_2803,Toilettes,13230,37.694419999999994,4801
SYSB767-B767_2803-36,Composants Majeurs,B767_2803,Système de conditionnement d'air,10343,56.708522,13453
DETB767-B767_2803-37,Composants Secondaires,B767_2803,Détecteurs de fumée,11066,51.267564,2147
ECLB767-B767_2803-38,Composants Secondaires,B767_2803,Éclairage d'urgence,14359,25.265386,4936
PORB767-B767_2803-39,Composants Secondaires,B767_2803,Porte cargo,11447,23.438138000000002,2850
SYSB767-B767_2803-40,Composants Secondaires,B767_2803,Systèmes d'oxygène d'urgence,13038,14.354052000000001,4745
PORB767-B767_2803-41,Composants Secondaires,B767_2803,Portes passagers,13107,36.427777999999996,3053
HUBB767-B767_2803-42,Composants Secondaires,B767_2803,Hublots,68978,10.384812,3593
ECLB767-B767_2803-43,Composants Secondaires,B767_2803,Éclairage de la cabine,10639,51.334506,4965
SYSB767-B767_2803-44,Composants Secondaires,B767_2803,Système d'approvisionnement en eau,12796,20.000984,4701
REACRJ700-CRJ700_6943-0,Composants Critiques,CRJ700_6943,Réacteur gauche,13045,9.73021,15552
