ref_compo,categorie,aero,desc,lifespan,taux_usure_actuel,cout
REAE170-E170_6353-0,2,E170_6353,Réacteur gauche,13045.0,53.308375,15552.0
REAE170-E170_6353-1,2,E170_6353,Réacteur droit,13626.0,50.11195,17559.0
SYSE170-E170_6353-2,2,E170_6353,Système de navigation,10541.0,16.730574999999998,16514.0
ORDE170-E170_6353-3,2,E170_6353,Ordinateur de vol,10441.0,6.653075,16047.0
AUTE170-E170_6353-4,2,E170_6353,Autopilote,14847.0,42.033525,19362.0
SYSE170-E170_6353-5,2,E170_6353,Système de contrôle de vol,12580.0,5.5435,19492.0
RADE170-E170_6353-6,2,E170_6353,Radar météorologique,11923.0,22.154225,17567.0
SYSE170-E170_6353-7,2,E170_6353,Système de communication radio,10370.0,26.16775,19214.0
SYSE170-E170_6353-8,2,E170_6353,Système de gestion de carburant,13219.0,2.441425,18351.0
SYSE170-E170_6353-9,2,E170_6353,Système d'alerte de proximité au sol (GPWS),10423.0,31.011725,18680.0
SYSE170-E170_6353-10,2,E170_6353,Système de commande des gaz,11747.0,26.801025000000003,18091.0
UNIE170-E170_6353-11,2,E170_6353,Unité de gestion de l'air,13224.0,28.3618,17834.0
SYSE170-E170_6353-12,2,E170_6353,Système de gestion électrique,10409.0,40.100675,16266.0
SYSE170-E170_6353-13,2,E170_6353,Système d'atterrissage automatique,13537.0,48.845275,15045.0
SYSE170-E170_6353-14,2,E170_6353,Système de surveillance du trafic aérien,10023.0,48.861725,17135.0
SYSE170-E170_6353-15,1,E170_6353,Système hydraulique principal,14811.0,8.850825,14197.0
GENE170-E170_6353-16,1,E170_6353,Générateur électrique,13716.0,36.4487,10833.0
TRAE170-E170_6353-17,1,E170_6353,Train d'atterrissage principal,10389.0,36.349175,12512.0
TRAE170-E170_6353-18,1,E170_6353,Train d'atterrissage avant,13964.0,28.3073,14173.0
SYSE170-E170_6353-19,1,E170_6353,Système anti-givre,14807.0,31.810525,13366.0
AILE170-E170_6353-20,1,E170_6353,Ailerons,10524.0,50.8293,10290.0
EMPE170-E170_6353-21,1,E170_6353,Empennage,13736.0,50.2402,10528.0
