ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D003661,E170_6353,REAE170-E170_6353-0,57.50886500000001,2024-06-12,False
D009402,E170_6353,REAE170-E170_6353-1,54.499522,2024-06-12,False
D000812,E170_6353,SYSE170-E170_6353-2,20.124777,2024-06-12,False
D006665,E170_6353,ORDE170-E170_6353-3,10.015077,2024-06-12,False
D001163,E170_6353,AUTE170-E170_6353-4,46.814259,2024-06-12,False
D004039,E170_6353,SYSE170-E170_6353-5,9.59426,2024-06-12,False
D003609,E170_6353,RADE170-E170_6353-6,25.993430999999998,2024-06-12,False
D000662,E170_6353,SYSE170-E170_6353-7,29.506890000000006,2024-06-12,False
D005726,E170_6353,SYSE170-E170_6353-8,6.697943000000001,2024-06-12,False
D001649,E170_6353,SYSE170-E170_6353-9,34.367931,2024-06-12,False
D000484,E170_6353,SYSE170-E170_6353-10,30.583559,2024-06-12,False
D000695,E170_6353,UNIE170-E170_6353-11,32.619928,2024-06-12,False
D008324,E170_6353,SYSE170-E170_6353-12,43.452373,2024-06-12,False
D004856,E170_6353,SYSE170-E170_6353-13,53.20418899999999,2024-06-12,False
D003519,E170_6353,SYSE170-E170_6353-14,52.089130999999995,2024-06-12,False
D001256,E170_6353,SYSE170-E170_6353-15,13.619967,2024-06-12,False
D000407,E170_6353,GENE170-E170_6353-16,40.865252,2024-06-12,False
D003436,E170_6353,TRAE170-E170_6353-17,39.69443300000001,2024-06-12,False
D002068,E170_6353,TRAE170-E170_6353-18,32.803708,2024-06-12,False
D006601,E170_6353,SYSE170-E170_6353-19,36.578379000000005,2024-06-12,False
D003686,E170_6353,AILE170-E170_6353-20,54.218028000000004,2024-06-12,False
D006044,E170_6353,EMPE170-E170_6353-21,54.663192,2024-06-12,False
D007987,E170_6353,FLAE170-E170_6353-22,9.296925000000002,2024-06-12,False
D002475,E170_6353,SPOE170-E170_6353-23,8.820122000000001,2024-06-12,False
D000322,E170_6353,FREE170-E170_6353-24,33.362955,2024-06-12,False
D008648,E170_6353,SYSE170-E170_6353-25,13.916625000000002,2024-06-12,False
D003139,E170_6353,GOUE170-E170_6353-26,35.419270999999995,2024-06-12,False
D005176,E170_6353,SYSE170-E170_6353-27,9.401186000000001,2024-06-12,False
D001487,E170_6353,SYSE170-E170_6353-28,5.486171,2024-06-12,False
D008388,E170_6353,SYSE170-E170_6353-29,53.112487,2024-06-12,False
D004133,E170_6353,ECLE170-E170_6353-30,52.493263,2024-06-12,False
D009554,E170_6353,SIEE170-E170_6353-31,23.756082000000003,2024-06-12,False
D001637,E170_6353,SIEE170-E170_6353-32,45.197399999999995,2024-06-12,False
D006334,E170_6353,SYSE170-E170_6353-33,37.86204500000001,2024-06-12,False
D001943,E170_6353,SYSE170-E170_6353-34,9.768772,2024-06-12,False
D001901,E170_6353,TOIE170-E170_6353-35,13.542309999999999,2024-06-12,False
D009948,E170_6353,SYSE170-E170_6353-36,51.25617100000001,2024-06-12,False
D009118,E170_6353,DETE170-E170_6353-37,15.313202000000002,2024-06-12,False
D008557,E170_6353,ECLE170-E170_6353-38,9.120523000000002,2024-06-12,False
D003359,E170_6353,PORE170-E170_6353-39,12.624459,2024-06-12,False
D007229,E170_6353,SYSE170-E170_6353-40,28.206086000000006,2024-06-12,False
D004016,E170_6353,PORE170-E170_6353-41,21.473478999999998,2024-06-12,False
D000955,E170_6353,HUBE170-E170_6353-42,32.744266,2024-06-12,False
D007247,E170_6353,ECLE170-E170_6353-43,54.103683,2024-06-12,False
D000514,E170_6353,SYSE170-E170_6353-44,25.630012,2024-06-12,False
D003716,B767_2803,REAB767-B767_2803-0,5.919415,2024-06-11,False
D004900,B767_2803,REAB767-B767_2803-1,21.038062,2024-06-11,False
D009419,B767_2803,SYSB767-B767_2803-2,47.961167,2024-06-11,False
