ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V09972247,B757_0375,2024-06-06,3.5,"{'temp': '6.4°C', 'pressure': '911.2 hPa', 'vibrations': '0.009413792309728164 m/s²'}",0
V05194992,B747_2724,2024-06-06,5.4,"{'temp': '4.8°C', 'pressure': '1011.5 hPa', 'vibrations': '0.16979882598674778 m/s²'}",0
V04977867,B747_0442,2024-06-06,3.6,"{'temp': '1.4°C', 'pressure': '788.9 hPa', 'vibrations': '0.17148269076934175 m/s²'}",0
V04836716,E170_6913,2024-06-06,4.6,"{'temp': '-27.4°C', 'pressure': '946.7 hPa', 'vibrations': '1.5543521695253382 m/s²'}",1
V06062166,A330_2982,2024-06-06,2.2,"{'temp': '12.4°C', 'pressure': '983.1 hPa', 'vibrations': '1.5906137497027713 m/s²'}",0
V04200584,B777_3944,2024-06-06,3.2,"{'temp': '-2.6°C', 'pressure': '968.9 hPa', 'vibrations': '0.5548754711428716 m/s²'}",0
V00958963,E170_2583,2024-06-06,4.7,"{'temp': '2.6°C', 'pressure': '963.6 hPa', 'vibrations': '1.231320502417748 m/s²'}",0
V02176237,A350_1889,2024-06-06,7.6,"{'temp': '1.3°C', 'pressure': '944.6 hPa', 'vibrations': '2.9927712402552253 m/s²'}",0
V09163322,E170_4783,2024-06-06,0.6,"{'temp': '2.8°C', 'pressure': '1037.5 hPa', 'vibrations': '1.2616668852380453 m/s²'}",0
V04253760,A340_3214,2024-06-06,3.2,"{'temp': '-5.9°C', 'pressure': '955.7 hPa', 'vibrations': '1.4426733240316554 m/s²'}",0
V00037005,CRJ700_1968,2024-06-06,5.0,"{'temp': '15.6°C', 'pressure': '867.8 hPa', 'vibrations': '4.6809270254297815 m/s²'}",0
V02767515,A350_6495,2024-06-06,0.6,"{'temp': '0.8°C', 'pressure': '946.0 hPa', 'vibrations': '2.010163390608209 m/s²'}",0
V01004584,A340_4021,2024-06-06,2.8,"{'temp': '9.7°C', 'pressure': '968.2 hPa', 'vibrations': '1.0714278767741008 m/s²'}",0
V05849129,E175_5414,2024-06-06,6.0,"{'temp': '10.2°C', 'pressure': '898.1 hPa', 'vibrations': '1.7514016189432824 m/s²'}",0
V00624266,B767_2315,2024-06-06,9.6,"{'temp': '3.3°C', 'pressure': '894.1 hPa', 'vibrations': '0.8183979961835658 m/s²'}",0
V03102510,A320_5229,2024-06-06,2.4,"{'temp': '-13.1°C', 'pressure': '995.0 hPa', 'vibrations': '0.26235492938476546 m/s²'}",1
V00346624,A350_4039,2024-06-06,3.7,"{'temp': '5.2°C', 'pressure': '878.3 hPa', 'vibrations': '0.35581507375817056 m/s²'}",0
V04230777,B737_2262,2024-06-06,8.7,"{'temp': '0.3°C', 'pressure': '911.3 hPa', 'vibrations': '1.2538931850966595 m/s²'}",0
V02073998,A321_4232,2024-06-06,5.1,"{'temp': '-1.6°C', 'pressure': '924.5 hPa', 'vibrations': '0.4217284367462226 m/s²'}",0
V02737332,CRJ900_6738,2024-06-06,12.4,"{'temp': '-2.0°C', 'pressure': '949.8 hPa', 'vibrations': '1.0424594386041202 m/s²'}",1
V09136742,A330_2237,2024-06-06,3.5,"{'temp': '-1.2°C', 'pressure': '937.9 hPa', 'vibrations': '2.648864993774333 m/s²'}",0
V09177428,B737_1256,2024-06-06,8.2,"{'temp': '2.4°C', 'pressure': '951.7 hPa', 'vibrations': '0.5504606018871033 m/s²'}",0
V04357278,A350_2655,2024-06-06,6.2,"{'temp': '0.8°C', 'pressure': '958.7 hPa', 'vibrations': '0.3665997952501576 m/s²'}",0
