ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V07679725,B767_4924,2024-06-02,7.0,"{'temp': '-5.7°C', 'pressure': '930.6 hPa', 'vibrations': '3.1163905014858932 m/s²'}",0
V02564879,B747_3165,2024-06-02,5.1,"{'temp': '0.9°C', 'pressure': '950.6 hPa', 'vibrations': '4.5578253809563725 m/s²'}",0
V07933973,B757_2518,2024-06-02,7.7,"{'temp': '-6.2°C', 'pressure': '975.5 hPa', 'vibrations': '4.58707061982232 m/s²'}",3
V02230187,A340_1047,2024-06-02,6.1,"{'temp': '-25.3°C', 'pressure': '945.1 hPa', 'vibrations': '3.287868564197513 m/s²'}",1
V09071213,B757_6806,2024-06-02,4.5,"{'temp': '11.1°C', 'pressure': '931.3 hPa', 'vibrations': '2.8166257793381355 m/s²'}",0
V05268617,B747_1460,2024-06-02,4.2,"{'temp': '6.7°C', 'pressure': '929.1 hPa', 'vibrations': '4.395360606179412 m/s²'}",0
V06337912,E170_4215,2024-06-02,2.2,"{'temp': '-3.3°C', 'pressure': '901.4 hPa', 'vibrations': '0.11158576392007458 m/s²'}",0
V05407340,A330_6708,2024-06-02,6.0,"{'temp': '9.7°C', 'pressure': '861.6 hPa', 'vibrations': '4.045373429186297 m/s²'}",0
V05601943,A350_6031,2024-06-02,6.7,"{'temp': '-1.8°C', 'pressure': '938.3 hPa', 'vibrations': '3.246045907069765 m/s²'}",0
V04748755,A380_2079,2024-06-02,3.1,"{'temp': '1.3°C', 'pressure': '987.4 hPa', 'vibrations': '0.0731033741033088 m/s²'}",0
V04292956,A350_3122,2024-06-02,6.2,"{'temp': '-9.4°C', 'pressure': '839.2 hPa', 'vibrations': '0.22741716993574967 m/s²'}",0
V08385842,CRJ700_0545,2024-06-02,0.6,"{'temp': '5.2°C', 'pressure': '888.8 hPa', 'vibrations': '4.235834185320216 m/s²'}",0
V02261708,A330_0921,2024-06-02,3.3,"{'temp': '-0.9°C', 'pressure': '968.4 hPa', 'vibrations': '3.2486495155908117 m/s²'}",0
V09916246,A330_6979,2024-06-02,7.0,"{'temp': '-11.8°C', 'pressure': '899.0 hPa', 'vibrations': '1.5818307677297012 m/s²'}",1
V03409822,A340_3887,2024-06-02,9.8,"{'temp': '-16.8°C', 'pressure': '943.6 hPa', 'vibrations': '3.808052388481019 m/s²'}",1
V07895636,A340_6668,2024-06-02,6.9,"{'temp': '17.3°C', 'pressure': '919.1 hPa', 'vibrations': '1.7699363063901086 m/s²'}",0
V01008450,CRJ700_3181,2024-06-02,3.1,"{'temp': '2.7°C', 'pressure': '888.3 hPa', 'vibrations': '4.4462131528742574 m/s²'}",0
V06922028,E170_4783,2024-06-02,5.8,"{'temp': '-7.4°C', 'pressure': '1017.2 hPa', 'vibrations': '4.631840051213865 m/s²'}",0
V03135387,E175_5414,2024-06-02,2.8,"{'temp': '3.7°C', 'pressure': '931.4 hPa', 'vibrations': '3.394447176402935 m/s²'}",0
V04940000,A350_1889,2024-06-02,3.8,"{'temp': '14.9°C', 'pressure': '983.3 hPa', 'vibrations': '3.5073642959334768 m/s²'}",0
V09903475,CRJ900_5426,2024-06-02,2.3,"{'temp': '1.2°C', 'pressure': '985.1 hPa', 'vibrations': '0.644802795997626 m/s²'}",0
V00549554,CRJ900_2577,2024-06-02,2.5,"{'temp': '4.5°C', 'pressure': '916.2 hPa', 'vibrations': '4.315323449029554 m/s²'}",0
V08958846,A321_3033,2024-06-02,9.2,"{'temp': '7.8°C', 'pressure': '942.8 hPa', 'vibrations': '3.2178870917942204 m/s²'}",0
V08572799,E170_2583,2024-06-02,4.9,"{'temp': '7.6°C', 'pressure': '946.9 hPa', 'vibrations': '1.1372483870592203 m/s²'}",0
V09908093,A320_6924,2024-06-02,4.6,"{'temp': '-11.3°C', 'pressure': '955.0 hPa', 'vibrations': '4.335380603241454 m/s²'}",0
